time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/3/21 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 11:20,0.0,0.0,0.0,0.0,0.0,0.0
