time,x11,x12,x13,x21,x22,x23,x31,x32,x33
13/12/3 09:30,0.650472492442,0.00141834164044,0.348109165917,0.00638927581468,0.935681763782,0.0579289604034,0.00612778909693,0.134630690547,0.859241520356
13/12/3 09:40,0.650618767103,0.00142188555348,0.347959347344,0.00638399014082,0.935715932077,0.0579000777825,0.00611013302848,0.134777237911,0.85911262906
13/12/3 09:50,0.650434543863,0.00144073597752,0.34812472016,0.0063828466271,0.935784946295,0.0578322070775,0.00612452289857,0.134631222473,0.859244254629
13/12/3 10:00,0.65025686444,0.00145222807044,0.348290907489,0.00638323840975,0.935844463275,0.0577722983149,0.0061404141658,0.134452057038,0.859407528796
13/12/3 10:10,0.650178804508,0.00144221296443,0.348378982527,0.00638379670141,0.935869012931,0.0577471903678,0.00615100602745,0.134321455195,0.859527538777
13/12/3 10:20,0.649977609133,0.00145721404917,0.348565176818,0.00638354370367,0.935924045303,0.0576924109937,0.00617055834039,0.13412631933,0.85970312233
13/12/3 10:30,0.649771169106,0.00146049993317,0.348768330961,0.00638531733206,0.935961443543,0.0576532391245,0.00619400050806,0.133879849652,0.85992614984
13/12/3 10:40,0.649634454407,0.00148213777621,0.348883407816,0.00638050770908,0.936036781316,0.057582710975,0.00620345502341,0.133804320747,0.859992224229
13/12/3 10:50,0.64963833537,0.00147581816568,0.348885846464,0.00637840323092,0.936075030072,0.0575465666971,0.00620187289595,0.133786381773,0.860011745331
13/12/3 11:00,0.649429081537,0.0014940512828,0.34907686718,0.00637875147813,0.936142477291,0.0574787712306,0.00621974403318,0.133589146935,0.860191109032
