time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/7/1 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/1 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/1 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/2 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/2 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/2 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/2 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/3 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/3 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/3 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/3 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/4 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/4 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/4 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/4 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/5 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/5 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/5 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/5 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/8 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/8 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/8 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/8 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/9 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/9 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/9 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/9 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/10 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/10 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/10 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/10 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/11 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/11 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/11 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/11 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/12 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/12 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/12 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/12 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/15 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/15 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/15 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/15 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/16 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/16 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/16 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/16 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/17 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/17 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/17 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/17 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/18 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/18 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/18 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/18 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/19 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/19 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/19 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/19 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/22 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/22 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/22 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/22 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/23 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/23 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/23 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/23 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/24 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/24 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/24 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/24 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/25 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/25 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/25 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/25 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/26 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/26 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/26 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/26 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/29 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/29 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/29 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/29 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/30 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/30 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/30 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/30 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/31 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/31 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/31 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/31 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/1 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/1 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/1 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/1 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/2 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/2 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/2 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/2 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/5 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/5 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/5 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/5 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/6 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/6 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/6 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/6 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/7 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/7 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/7 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/7 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/8 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/8 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/8 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/8 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/9 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/9 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/9 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/9 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/12 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/12 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/12 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/8/12 14:00,0.0,0.0,0.0,0.0,0.0,0.0
